,Country,Happiness_Score,GDP,Social_Support,Life_Expectancy (Happiness),Freedom_Score,Generosity,Corruption_Score,Happiness (Dystopia),Beer_Servings,Spirit_Servings,Wine_Servings,Total_L_Pure_Alcohol,Life_Expectancy (LED),Adult_Mortality,infantdeaths,GDP_Health_Gov_Expenditure (%),HepatitisB,Measles,BMI,under-fivedeaths,Polio,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,HDI,Schooling
0,Finland,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019000000004,0.19544458399999998,1.9723167419999998,263.0,133.0,97.0,10.0,81.1,76.0,0.0,0.0,80.9051094890511,2.0,62.1,0.0,97.0,97.0,0.1,4245.39744,5479531.0,0.9,0.8,0.893,17.0
1,Denmark,7.645599842,10.77400112,0.955990791,72.40250397,0.9514442679999999,0.06620177599999999,0.168489456,1.9723167419999998,224.0,81.0,278.0,10.4,86.0,71.0,0.0,0.0,80.9051094890511,9.0,58.8,0.0,93.0,93.0,0.1,5314.64416,5683483.0,1.1,0.9,0.9229999999999999,19.2
2,Switzerland,7.559899807000001,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.9723167419999998,185.0,100.0,280.0,10.2,83.4,49.0,0.0,0.0,80.9051094890511,35.0,57.4,0.0,97.0,97.0,0.1,8989.8424,8282396.0,0.4,0.3,0.938,16.0
3,Iceland,7.504499912000001,10.77255917,0.9746695759999999,73.0,0.948891878,0.246944219,0.7117097379999999,1.9723167419999998,233.0,61.0,78.0,6.6,82.7,49.0,0.0,0.0,80.9051094890511,0.0,61.0,0.0,92.0,92.0,0.1,5734.4436,33815.0,1.0,0.9,0.919,19.0
4,Norway,7.487999916000001,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.26321819399999996,1.9723167419999998,169.0,71.0,129.0,6.7,81.8,59.0,0.0,0.0,80.9051094890511,14.0,61.2,0.0,95.0,95.0,0.1,7455.246540000001,518867.0,0.8,0.7,0.948,17.7
5,Netherlands,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,1.9723167419999998,251.0,88.0,190.0,9.4,81.9,57.0,1.0,0.0,94.0,7.0,62.1,1.0,95.0,95.0,0.1,44292.88473,16939923.0,1.0,0.9,0.9229999999999999,18.1
6,Sweden,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.9723167419999998,152.0,60.0,186.0,7.2,82.4,53.0,0.0,0.0,67.0,22.0,59.5,0.0,98.0,98.0,0.1,5585.258470000001,9799186.0,1.5,1.4,0.909,15.9
7,New Zealand,7.2996001239999995,10.50094318,0.9491189720000001,73.20262909,0.9362174870000001,0.191598073,0.22113885,1.9723167419999998,203.0,79.0,175.0,9.3,81.6,66.0,0.0,0.0,92.0,10.0,67.5,0.0,92.0,92.0,0.1,3821.8937,12796652.364,0.4,0.3,0.9129999999999999,19.2
8,Austria,7.294199944,10.7428236,0.9280458690000001,73.00250244,0.899989486,0.085429221,0.49995487899999996,1.9723167419999998,279.0,75.0,191.0,9.7,81.5,65.0,0.0,0.0,93.0,309.0,57.6,0.0,93.0,93.0,0.1,43665.947,8633169.0,1.9,2.1,0.892,15.9
9,Luxembourg,7.2375001910000005,11.45068073,0.9069122079999999,72.59999847,0.90563643,-0.004620588,0.367084295,1.9723167419999998,236.0,133.0,271.0,11.4,82.0,63.0,0.0,0.0,94.0,0.0,61.3,0.0,99.0,99.0,0.1,1199.8223,56964.0,1.0,0.9,0.8959999999999999,13.9
